stop_id,	stop_code,	stop_name,	stop_desc,	stop_lat,	stop_lon,	zone_id,	stop_url

Stop ID is used with the Stop Time. At a certain departure time, look for what departure times 
1538R,,"Highway 9 & Park Dr",,  37.080986,-122.084381,,
1539R,,"Highway 9 & Shadow Brook Ln/Park",,  37.081261,-122.084435,,
1541R,,"Highway 9 & Hillside",,  37.087681,-122.088730,,
1542R,,"Highway 9 & Hillside (Antique Shops)",,  37.087646,-122.088585,,
1543R,,"Highway 9 & Main",,  37.089657,-122.089676,,
1544R,,"Highway 9 & Main",,  37.089844,-122.089813,,
1547R,,"Highway 9 & Brown Gables (Church)",,  37.092960,-122.096260,,
1548R,,"Highway 9 & California Dr",,  37.095730,-122.097420,,
1549R,,"Highway 9 & California Dr",,  37.095490,-122.097122,,
1550R,,"Highway 9 & #10580",,  37.099701,-122.100967,,
1552R,,"Highway 9 & Western",,  37.105839,-122.105988,,
1553R,,"Highway 9 & Larkspur",,  37.106651,-122.106560,,
1554R,,"Highway 9 & Pacific (Clear Creek)",,  37.107697,-122.109261,,
1555R,,"Highway 9 & Pacific",,  37.107861,-122.109627,,
1556R,,"Highway 9 & Irwin Wy (Rivercroft)",,  37.111294,-122.114410,,
1557R,,"Highway 9 & Irwin Wy (Rivercroft)",,  37.111439,-122.114220,,
1558R,,"Highway 9 & River St",,  37.116161,-122.120453,,
1559R,,"Highway 9 & River St",,  37.116524,-122.120216,,
1560R,,"Highway 9 & Mountain",,  37.120399,-122.120834,,
1561R,,"Highway 9 & Lomond",,  37.123093,-122.121696,,
1564R,,"Highway 9 & Monaco",,  37.133812,-122.125984,,
1565R,,"Highway 9 & Cresta",,  37.138687,-122.129517,,
1567R,,"Highway 9 & Sequoia (before)",,  37.152439,-122.134529,,
1568R,,"Highway 9 & (mile #18025)",,  37.185116,-122.141586,,
1569R,,"Highway 9 & Sylvan",,  37.195713,-122.145607,,
1570R,,"Highway 17 & Pasatiempo",,  36.999294,-122.020912,,
1571R,,"Highway 17 & Pasatiempo",,  36.999645,-122.022064,,
1572R,,"Highway 17 & (Scotts Valley Med. Center)",,  37.033867,-122.021507,,
1575R,,"Hill & Capitola Ave",,  36.981617,-121.952286,,
1585R,,"Lake & Harbormaster",,  36.963802,-122.000298,,
1586R,,"Lake & Lago (#413)",,  36.966976,-122.001083,,
1590R,,"Laurel & Blackburn",,  36.968449,-122.031158,,
1591R,,"Laurel & Center",,  36.968918,-122.027740,,
1592R,,"Laurel & Washington/Center",,  36.968807,-122.027779,,
